lemma	frequency	rank	band_id
encantar	6520.0	589	1
droga	6515.0	590	1
jurar	6500.0	591	1
sistema	6499.0	592	1
fuerza	6496.0	593	1
divertido	6433.0	594	1
vender	6421.0	595	1
servir	6416.0	596	1
prometer	6406.0	597	1
apostar	6391.0	598	1
lejos	6377.0	599	1
existir	6371.0	600	1
pueblo	6370.0	601	1
acerca	6358.0	602	1
ocupar	6353.0	603	1
abogado	6332.0	604	1
resultar	6328.0	605	1
falta	6323.0	606	1
romper	6284.0	607	1
vale	6263.0	608	1
carta	6240.0	609	1
respuesta	6237.0	610	1
mala	6224.0	611	1
línea	6213.0	612	1
odio	6173.0	613	1
caballero	6129.0	614	1
general	6129.0	615	1
novio	6119.0	616	1
suena	6110.0	617	1
avión	6109.0	618	1
futuro	6099.0	619	1
aprender	6097.0	620	1
permitir	6087.0	621	1
llave	6081.0	622	1
diez	6065.0	623	1
personalmente	6041.0	624	1
aquel	6039.0	625	1
grandes	6007.0	626	1
despertar	6000.0	627	1
asesino	6000.0	628	1
frente	5997.0	629	1
traje	5975.0	630	1
compañía	5973.0	631	1
librar	5948.0	632	1
armas	5934.0	633	1
grupo	5932.0	634	1
sam	5911.0	635	1
mostrar	5902.0	636	1
fuego	5896.0	637	1
veras	5880.0	638	1
miren	5877.0	639	1
boca	5875.0	640	1
atención	5862.0	641	1
beber	5858.0	642	1
sal	5841.0	643	1
música	5829.0	644	1
salvar	5817.0	645	1
libremente	5793.0	646	1
lleno	5793.0	647	1
causar	5787.0	648	1
caja	5774.0	649	1
caminar	5767.0	650	1
personal	5759.0	651	1
situación	5725.0	652	1
simplemente	5710.0	653	1
oficial	5696.0	654	1
piensa	5695.0	655	1
demás	5688.0	656	1
dado	5675.0	657	1
centro	5675.0	658	1
dulce	5661.0	659	1
dolor	5644.0	660	1
convertir	5635.0	661	1
cámara	5620.0	662	1
llevarse	5597.0	663	1
accidente	5575.0	664	1
molestar	5570.0	665	1
programa	5568.0	666	1
rey	5556.0	667	1
york	5534.0	668	1
decisión	5526.0	669	1
adentro	5524.0	670	1
mover	5511.0	671	1
papel	5497.0	672	1
molesto	5493.0	673	1
lograr	5489.0	674	1
deben	5489.0	675	1
universidad	5484.0	676	1
incluso	5479.0	677	1
coche	5473.0	678	1
estudiar	5447.0	679	1
voz	5431.0	680	1
maravilloso	5405.0	681	1
servicio	5398.0	682	1
detrás	5386.0	683	1
esposo	5383.0	684	1
oído	5357.0	685	1
enfermo	5328.0	686	1
encima	5314.0	687	1
sino	5281.0	688	1
notar	5276.0	689	1
cena	5276.0	690	1
palabras	5265.0	691	1
referir	5259.0	692	1
gana	5245.0	693	1
elegir	5240.0	694	1
costar	5229.0	695	1
regalo	5228.0	696	1
campo	5224.0	697	1
temer	5222.0	698	1
ayer	5216.0	699	1
disculpa	5199.0	700	1
pase	5186.0	701	1
interesar	5168.0	702	1
señal	5164.0	703	1
eras	5148.0	704	1
suyo	5143.0	705	1
normal	5134.0	706	1
pena	5112.0	707	1
bienvenido	5111.0	708	1
descubrir	5108.0	709	1
ataque	5085.0	710	1
siguiente	5059.0	711	1
aire	5046.0	712	1
vuelve	5040.0	713	1
reunión	5017.0	714	1
mas	5015.0	715	1
acabó	5015.0	716	1
rico	5014.0	717	1
navidad	5006.0	718	1
gracioso	4988.0	719	1
regla	4986.0	720	1
invitar	4973.0	721	1
equivocado	4970.0	722	1
ocupado	4969.0	723	1
herido	4966.0	724	1
mesa	4958.0	725	1
hotel	4946.0	726	1
aparecer	4927.0	727	1
mandar	4904.0	728	1
quiera	4903.0	729	1
frío	4896.0	730	1
salido	4891.0	731	1
rojo	4891.0	732	1
mitad	4890.0	733	1
boda	4879.0	734	1
compañero	4878.0	735	1
casado	4875.0	736	1
tienda	4868.0	737	1
cumpleaños	4854.0	738	1
mente	4844.0	739	1
sitio	4834.0	740	1
público	4830.0	741	1
volar	4826.0	742	1
edad	4820.0	743	1
excelente	4789.0	744	1
basura	4774.0	745	1
ama	4762.0	746	1
cortar	4755.0	747	1
daño	4749.0	748	1
caballeros	4734.0	749	1
acción	4729.0	750	1
considerar	4726.0	751	1
pobre	4723.0	752	1
edificio	4721.0	753	1
detener	4709.0	754	1
continuar	4707.0	755	1
firmar	4701.0	756	1
abierto	4700.0	757	1
cargo	4697.0	758	1
interesante	4697.0	759	1
canción	4675.0	760	1
terrible	4666.0	761	1
pierna	4661.0	762	1
ley	4651.0	763	1
respetar	4632.0	764	1
luchar	4622.0	765	1
escapar	4622.0	766	1
piso	4615.0	767	1
salvo	4600.0	768	1
media	4598.0	769	1
baja	4594.0	770	1
actuar	4590.0	771	1
drogas	4588.0	772	1
éste	4581.0	773	1
tras	4574.0	774	1
vestido	4557.0	775	1
placer	4556.0	776	1
marido	4552.0	777	1
informar	4552.0	778	1
carrera	4541.0	779	1
tema	4540.0	780	1
dale	4534.0	781	1
nave	4507.0	782	1
víctima	4506.0	783	1
completo	4496.0	784	1
entendido	4480.0	785	1
vestir	4479.0	786	1
gobierno	4478.0	787	1
abuela	4472.0	788	1
siete	4470.0	789	1
mentir	4469.0	790	1
fantástico	4425.0	791	1
nota	4407.0	792	1
tirar	4400.0	793	1
levantar	4396.0	794	1
estrella	4394.0	795	1
necesario	4392.0	796	1
mentira	4392.0	797	1
club	4384.0	798	1
pruebas	4379.0	799	1
basar	4370.0	800	1
asesinato	4362.0	801	1
contacto	4360.0	802	1
duda	4354.0	803	1
dirección	4343.0	804	1
prisión	4336.0	805	1
animal	4335.0	806	1
dama	4331.0	807	1
imposible	4329.0	808	1
brazo	4320.0	809	1
conducir	4319.0	810	1
bailar	4317.0	811	1
hambre	4317.0	812	1
permiso	4297.0	813	1
peligroso	4282.0	814	1
izquierdo	4278.0	815	1
pelo	4263.0	816	1
bomba	4256.0	817	1
paciente	4251.0	818	1
vista	4233.0	819	1
opción	4233.0	820	1
visitar	4231.0	821	1
sala	4227.0	822	1
locura	4220.0	823	1
explicar	4220.0	824	1
soldado	4209.0	825	1
broma	4183.0	826	1
sorpresa	4167.0	827	1
horrible	4165.0	828	1
partido	4165.0	829	1
equivocar	4153.0	830	1
misión	4152.0	831	1
u	4150.0	832	1
perdonar	4123.0	833	1
responder	4120.0	834	1
departamento	4110.0	835	1
